soil_property,model_name,description,unit_transform,n,rmse,bias,rsq,ccc,rpiq
cf_usda.c236_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Coarse Fragments, Greater 2mm",log1p,56470,0.965,0.01,0.516,0.693,2.154
cf_usda.c236_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Coarse Fragments, Greater 2mm",log1p,1969,1.289,0.024,0.196,0.397,2.069
cf_usda.c236_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Coarse Fragments, Greater 2mm",log1p,23237,0.707,0.016,0.248,0.433,1.554
clay.tot_usda.a334_w.pct,mir_mlr3..eml_kssl_na_v1.2,Clay,original,50007,5.603,0.069,0.88,0.936,4.013
clay.tot_usda.a334_w.pct,mir_mlr3..eml_ossl_na_v1.2,Clay,original,57268,6.08,-0.07,0.885,0.932,3.895
clay.tot_usda.a334_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,Clay,original,1976,9.065,0.097,0.572,0.743,2.096
clay.tot_usda.a334_w.pct,visnir_mlr3..eml_ossl_na_v1.2,Clay,original,27145,8,0.126,0.73,0.845,2.5
cu.ext_usda.a1063_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Copper, Extractable, Mehlich3",log1p,1534,0.32,0.008,0.774,0.874,3.342
cu.ext_usda.a1063_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Copper, Extractable, Mehlich3",log1p,3772,0.322,-0.001,0.718,0.837,2.873
ec_usda.a364_ds.m,mir_mlr3..eml_kssl_na_v1.2,"Electrical Conductivity, (w/w)",log1p,31886,0.383,0,0.799,0.888,1.425
ec_usda.a364_ds.m,mir_mlr3..eml_ossl_na_v1.2,"Electrical Conductivity, (w/w)",log1p,34040,0.342,-0.005,0.835,0.905,1.543
ec_usda.a364_ds.m,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Electrical Conductivity, (w/w)",log1p,942,0.417,-0.007,0.373,0.579,0.608
ec_usda.a364_ds.m,visnir_mlr3..eml_ossl_na_v1.2,"Electrical Conductivity, (w/w)",log1p,21833,0.134,-0.004,0.495,0.666,1.135
fe.dith_usda.a66_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Iron, Crystalline, Total Pedogenic Iron",log1p,31138,0.186,-0.002,0.865,0.915,3.517
fe.dith_usda.a66_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Iron, Crystalline, Total Pedogenic Iron",log1p,31138,0.19,0,0.851,0.92,3.457
fe.dith_usda.a66_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Iron, Crystalline, Total Pedogenic Iron",log1p,1773,0.285,-0.001,0.498,0.679,1.868
fe.ext_usda.a1064_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Iron, Extractable, Mehlich3",log1p,1534,0.478,0.013,0.749,0.86,2.302
fe.ext_usda.a1064_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Iron, Extractable, Mehlich3",log1p,3773,0.429,0.005,0.706,0.825,2.157
fe.ox_usda.a60_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Iron, Amorphous, Total Non-Crystalline Iron",log1p,28259,0.144,-0.005,0.755,0.838,2.366
fe.ox_usda.a60_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Iron, Amorphous, Total Non-Crystalline Iron",log1p,28259,0.145,-0.004,0.755,0.837,2.362
fe.ox_usda.a60_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Iron, Amorphous, Total Non-Crystalline Iron",log1p,1354,0.178,-0.001,0.43,0.614,1.528
k.ext_usda.a1065_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Potassium, Extractable, Mehlich3",log1p,1534,0.602,-0.002,0.729,0.847,1.834
k.ext_usda.a1065_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Potassium, Extractable, Mehlich3",log1p,3772,0.578,-0.006,0.706,0.827,2.29
k.ext_usda.a725_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log1p,53230,0.196,-0.005,0.739,0.837,2.111
k.ext_usda.a725_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log1p,57674,0.201,-0.003,0.719,0.838,2.054
k.ext_usda.a725_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log1p,1976,0.26,-0.003,0.376,0.585,1.493
k.ext_usda.a725_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log1p,44489,0.267,-0.005,0.523,0.703,1.891
mg.ext_usda.a1066_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Magnesium, Extractable, Mehlich3",log1p,1534,0.669,0.038,0.787,0.885,3.104
mg.ext_usda.a1066_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Magnesium, Extractable, Mehlich3",log1p,3773,0.544,0.01,0.829,0.905,3.573
mg.ext_usda.a724_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log1p,53232,0.304,-0.003,0.893,0.937,4.437
mg.ext_usda.a724_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log1p,57093,0.357,0.012,0.848,0.916,3.841
mg.ext_usda.a724_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log1p,1976,0.486,0.009,0.6,0.747,2.381
mg.ext_usda.a724_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log1p,3731,0.473,-0.003,0.683,0.809,2.749
mn.ext_usda.a1067_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Manganese, Extractable, Mehlich3",log1p,1534,0.779,0.043,0.665,0.809,2.224
mn.ext_usda.a1067_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Manganese, Extractable, Mehlich3",log1p,3772,0.763,0.005,0.686,0.814,2.427
mn.ext_usda.a70_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Manganese, Extractable, KCl",log1p,14166,0.815,-0.008,0.607,0.762,1.875
mn.ext_usda.a70_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Manganese, Extractable, KCl",log1p,14166,0.809,-0.001,0.613,0.765,1.89
mn.ext_usda.a70_mg.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Manganese, Extractable, KCl",log1p,716,0.883,-0.008,0.156,0.362,1.355
n.tot_usda.a623_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Nitrogen, Total NCS",log1p,76594,0.069,-0.001,0.955,0.976,3.126
n.tot_usda.a623_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Nitrogen, Total NCS",log1p,81282,0.07,-0.001,0.952,0.974,2.887
n.tot_usda.a623_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Nitrogen, Total NCS",log1p,1976,0.085,-0.002,0.54,0.723,1.63
n.tot_usda.a623_w.pct,visnir_mlr3..eml_kssl_na_v1.2,"Nitrogen, Total NCS",log1p,19806,0.119,0,0.906,0.95,4.414
n.tot_usda.a623_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Nitrogen, Total NCS",log1p,60570,0.102,-0.002,0.877,0.928,1.996
na.ext_usda.a1068_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Sodium, Extractable, Mehlich3",log1p,1534,0.855,-0.011,0.701,0.822,2.412
na.ext_usda.a1068_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Sodium, Extractable, Mehlich3",log1p,3616,0.758,0.006,0.632,0.775,1.566
na.ext_usda.a726_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log1p,53230,0.471,-0.011,0.748,0.846,0.412
na.ext_usda.a726_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log1p,57075,0.508,-0.003,0.689,0.813,0.388
na.ext_usda.a726_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log1p,1976,0.476,-0.01,0.215,0.422,0.103
na.ext_usda.a726_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,"Sodium, Extractable, NH4OAc, 2M KCl displacement",log1p,3715,0.375,-0.003,0.408,0.601,0.7
oc_usda.c729_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Organic Carbon, Total C without CaCO3, S prep",log1p,75929,0.153,-0.001,0.984,0.991,8.17
oc_usda.c729_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Organic Carbon, Total C without CaCO3, S prep",log1p,82573,0.151,-0.001,0.983,0.991,7.877
oc_usda.c729_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Organic Carbon, Total C without CaCO3, S prep",log1p,1974,0.3,0.001,0.722,0.843,2.695
oc_usda.c729_w.pct,visnir_mlr3..eml_kssl_na_v1.2,"Organic Carbon, Total C without CaCO3, S prep",log1p,19747,0.299,0.005,0.953,0.976,8.737
oc_usda.c729_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Organic Carbon, Total C without CaCO3, S prep",log1p,64211,0.288,-0.003,0.921,0.955,3.451
p.ext_usda.a1070_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Phosphorus, Extractable, Mehlich3",log1p,25602,0.891,-0.016,0.611,0.732,2.57
p.ext_usda.a1070_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Phosphorus, Extractable, Mehlich3",log1p,27690,0.867,-0.011,0.619,0.743,2.577
p.ext_usda.a1070_mg.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Phosphorus, Extractable, Mehlich3",log1p,754,1.291,-0.025,0.179,0.385,1.62
p.ext_usda.a270_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Phosphorus, Extractable, Bray1",log1p,7146,0.802,-0.022,0.689,0.802,2.846
p.ext_usda.a270_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Phosphorus, Extractable, Bray1",log1p,7282,0.802,-0.018,0.686,0.8,2.82
p.ext_usda.a274_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Phosphorus, Extractable, Olsen",log1p,15359,0.743,-0.018,0.596,0.718,2.44
p.ext_usda.a274_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Phosphorus, Extractable, Olsen",log1p,16084,0.787,-0.014,0.56,0.695,2.354
p.ext_usda.a274_mg.kg,visnir_mlr3..eml_ossl_na_v1.2,"Phosphorus, Extractable, Olsen",log1p,40764,1.141,0.019,0.295,0.518,1.14
ph.cacl2_usda.a481_index,mir_mlr3..eml_kssl_na_v1.2,"pH, 1:2 Soil-CaCl2 Suspension",original,52946,0.428,-0.002,0.908,0.947,5.754
ph.cacl2_usda.a481_index,mir_mlr3..eml_ossl_na_v1.2,"pH, 1:2 Soil-CaCl2 Suspension",original,53819,0.441,-0.003,0.903,0.943,5.551
ph.cacl2_usda.a481_index,nir.neospectra_mlr3..eml_ossl_na_v1.2,"pH, 1:2 Soil-CaCl2 Suspension",original,1976,0.839,0.016,0.603,0.767,2.862
ph.cacl2_usda.a481_index,visnir_mlr3..eml_ossl_na_v1.2,"pH, 1:2 Soil-CaCl2 Suspension",original,40848,0.515,0,0.876,0.922,5.247
ph.h2o_usda.a268_index,mir_mlr3..eml_kssl_na_v1.2,"pH, 1:1 Soil-Water Suspension",original,52867,0.496,0.015,0.86,0.926,4.517
ph.h2o_usda.a268_index,mir_mlr3..eml_ossl_na_v1.2,"pH, 1:1 Soil-Water Suspension",original,59997,0.493,-0.002,0.869,0.92,4.526
ph.h2o_usda.a268_index,nir.neospectra_mlr3..eml_ossl_na_v1.2,"pH, 1:1 Soil-Water Suspension",original,1976,0.817,0.038,0.59,0.754,2.657
ph.h2o_usda.a268_index,visnir_mlr3..eml_ossl_na_v1.2,"pH, 1:1 Soil-Water Suspension",original,44590,0.569,0.001,0.831,0.895,4.358
s.tot_usda.a624_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Sulfur, Total NCS",log1p,76592,0.09,-0.001,0.894,0.942,0.507
s.tot_usda.a624_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Sulfur, Total NCS",log1p,76592,0.085,-0.001,0.905,0.948,0.534
s.tot_usda.a624_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Sulfur, Total NCS",log1p,1976,0.109,-0.002,0.79,0.887,0.251
s.tot_usda.a624_w.pct,visnir_mlr3..eml_kssl_na_v1.2,"Sulfur, Total NCS",log1p,19807,0.09,-0.001,0.673,0.807,0.411
s.tot_usda.a624_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Sulfur, Total NCS",log1p,19807,0.092,-0.001,0.657,0.798,0.401
sand.tot_usda.c60_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Sand, Total, S prep",original,50012,11.189,0.601,0.852,0.92,4.361
sand.tot_usda.c60_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Sand, Total, S prep",original,57162,10.574,-0.069,0.874,0.922,4.606
sand.tot_usda.c60_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Sand, Total, S prep",original,1976,21.58,0.511,0.424,0.629,2.17
sand.tot_usda.c60_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Sand, Total, S prep",original,27086,17.903,0.279,0.548,0.724,2.402
silt.tot_usda.c62_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Silt, Total, S prep",original,50013,8.47,0.005,0.827,0.907,3.601
silt.tot_usda.c62_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Silt, Total, S prep",original,57215,8.113,-0.093,0.848,0.911,3.969
silt.tot_usda.c62_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Silt, Total, S prep",original,1976,15.32,0.24,0.43,0.629,1.952
silt.tot_usda.c62_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Silt, Total, S prep",original,27139,13.061,0.076,0.559,0.737,2.144
wr.1500kPa_usda.a417_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Water Retention, 15 Bar (1500 kPa)",log1p,40284,0.229,0.001,0.914,0.947,3.589
wr.1500kPa_usda.a417_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Water Retention, 15 Bar (1500 kPa)",log1p,41345,0.25,0.002,0.902,0.936,3.328
wr.1500kPa_usda.a417_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Water Retention, 15 Bar (1500 kPa)",log1p,1951,0.396,0.007,0.569,0.725,1.934
wr.1500kPa_usda.a417_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Water Retention, 15 Bar (1500 kPa)",log1p,971,0.515,0.023,0.44,0.651,1.53
wr.33kPa_usda.a415_w.pct,mir_mlr3..eml_kssl_na_v1.2,"Water Retention, 1/3 Bar (33 kPa)",log1p,18536,0.242,0.001,0.795,0.877,2.029
wr.33kPa_usda.a415_w.pct,mir_mlr3..eml_ossl_na_v1.2,"Water Retention, 1/3 Bar (33 kPa)",log1p,19459,0.246,0.001,0.795,0.867,2.022
wr.33kPa_usda.a415_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,"Water Retention, 1/3 Bar (33 kPa)",log1p,1032,0.435,0.03,0.19,0.413,1.059
wr.33kPa_usda.a415_w.pct,visnir_mlr3..eml_ossl_na_v1.2,"Water Retention, 1/3 Bar (33 kPa)",log1p,923,0.41,0.026,0.411,0.623,1.404
zn.ext_usda.a1073_mg.kg,mir_mlr3..eml_kssl_na_v1.2,"Zinc, Extractable, Mehlich3",log1p,1534,0.415,-0.006,0.648,0.791,2.168
zn.ext_usda.a1073_mg.kg,mir_mlr3..eml_ossl_na_v1.2,"Zinc, Extractable, Mehlich3",log1p,3760,0.379,-0.007,0.532,0.705,1.607
